snapshot_time,type,asset,kalshi_ticker,poly_slug,direction,combined_cost,profit,payout,kalshi_outcome,polymarket_outcome,poly_up_best_ask,poly_up_size_055,poly_up_slip_1000,poly_up_slip_3000,poly_down_best_ask,poly_down_size_055,poly_down_slip_1000,poly_down_slip_3000,kalshi_yes_levels,kalshi_no_levels,poly_up_vwap,poly_up_unfilled,poly_down_vwap,poly_down_unfilled,kalshi_yes_vwap,kalshi_yes_unfilled,kalshi_no_vwap,kalshi_no_unfilled,execution_status,combined_vwap,logged_at
2026-09-20T12:48:00.847133+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191215-15,doge-updown-15m-1789833600,B,0.7,0.3,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:00.923502+00:00,CLOSED,ETH,KXETH15M-26SEP191200-00,eth-updown-15m-1789833600,B,0.481,-0.481,0.0,down,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.145035+00:00,CLOSED,ZEC,KXZEC15M-26SEP191215-15,zec-updown-15m-1789833600,A,0.77,0.23,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.337251+00:00,CLOSED,ZEC,KXZEC15M-26SEP191230-30,zec-updown-15m-1789834500,A,0.77,0.23,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.433565+00:00,CLOSED,XRP,KXXRP15M-26SEP191230-30,xrp-updown-15m-1789834500,B,0.77,0.23,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.623268+00:00,CLOSED,BNB,KXBNB15M-26SEP191230-30,bnb-updown-15m-1789834500,B,0.73,-0.73,0.0,down,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.707493+00:00,CLOSED,BTC,KXBTC15M-26SEP191230-30,btc-updown-15m-1789835400,A,0.431,0.569,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.897370+00:00,CLOSED,ETH,KXETH15M-26SEP191230-30,eth-updown-15m-1789835400,A,0.381,-0.381,0.0,up,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:01.971031+00:00,CLOSED,ETH,KXETH15M-26SEP191245-45,eth-updown-15m-1789835400,B,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:02.184100+00:00,CLOSED,BNB,KXBNB15M-26SEP191245-45,bnb-updown-15m-1789835400,B,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:02.400344+00:00,CLOSED,SOL,KXSOL15M-26SEP191230-30,sol-updown-15m-1789835400,A,0.421,0.579,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:02.617919+00:00,CLOSED,ZEC,KXZEC15M-26SEP191245-45,zec-updown-15m-1789835400,B,0.45,0.55,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:02.853989+00:00,CLOSED,XRP,KXXRP15M-26SEP191245-45,xrp-updown-15m-1789835400,B,0.67,0.33,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.080476+00:00,CLOSED,ZEC,KXZEC15M-26SEP191300-00,zec-updown-15m-1789836300,B,0.69,0.31,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.271586+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191315-15,doge-updown-15m-1789837200,A,0.7,0.3,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.461098+00:00,CLOSED,SOL,KXSOL15M-26SEP191315-15,sol-updown-15m-1789837200,A,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.539198+00:00,CLOSED,ETH,KXETH15M-26SEP191315-15,eth-updown-15m-1789837200,A,0.6,0.4,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.728890+00:00,CLOSED,XRP,KXXRP15M-26SEP191315-15,xrp-updown-15m-1789837200,A,0.73,0.27,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:03.830076+00:00,CLOSED,BTC,KXBTC15M-26SEP191315-15,btc-updown-15m-1789837200,A,0.71,0.29,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.026884+00:00,CLOSED,BNB,KXBNB15M-26SEP191315-15,bnb-updown-15m-1789837200,A,0.7,0.3,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.218191+00:00,CLOSED,ZEC,KXZEC15M-26SEP191315-15,zec-updown-15m-1789837200,A,0.75,0.25,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.407956+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191315-15,hype-updown-15m-1789837200,B,0.7,0.3,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.508226+00:00,CLOSED,ETH,KXETH15M-26SEP191330-30,eth-updown-15m-1789838100,A,0.75,0.25,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.693902+00:00,CLOSED,SOL,KXSOL15M-26SEP191330-30,sol-updown-15m-1789838100,B,0.76,0.24,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.791195+00:00,CLOSED,XRP,KXXRP15M-26SEP191330-30,xrp-updown-15m-1789838100,B,0.68,0.32,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:04.995197+00:00,CLOSED,BNB,KXBNB15M-26SEP191330-30,bnb-updown-15m-1789838100,B,0.78,0.22,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:05.100801+00:00,CLOSED,BTC,KXBTC15M-26SEP191330-30,btc-updown-15m-1789838100,B,0.72,0.28,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:05.297379+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191330-30,doge-updown-15m-1789838100,A,0.73,0.27,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:05.494526+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191330-30,hype-updown-15m-1789838100,B,0.42,0.58,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:05.689104+00:00,CLOSED,ZEC,KXZEC15M-26SEP191330-30,zec-updown-15m-1789838100,B,0.37,0.63,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:05.876897+00:00,CLOSED,BNB,KXBNB15M-26SEP191345-45,bnb-updown-15m-1789839000,A,0.44,0.56,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.085660+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191345-45,doge-updown-15m-1789839000,B,0.62,0.38,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.185394+00:00,CLOSED,ETH,KXETH15M-26SEP191345-45,eth-updown-15m-1789839000,B,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.403346+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191345-45,hype-updown-15m-1789839000,A,0.4,0.6,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.504718+00:00,CLOSED,BTC,KXBTC15M-26SEP191345-45,btc-updown-15m-1789839000,B,0.77,0.23,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.603043+00:00,CLOSED,SOL,KXSOL15M-26SEP191345-45,sol-updown-15m-1789839000,A,0.78,0.22,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.805000+00:00,CLOSED,ZEC,KXZEC15M-26SEP191345-45,zec-updown-15m-1789839000,A,0.12,0.88,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:06.884638+00:00,CLOSED,XRP,KXXRP15M-26SEP191345-45,xrp-updown-15m-1789839000,B,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.062069+00:00,CLOSED,SOL,KXSOL15M-26SEP191400-00,sol-updown-15m-1789839900,B,0.67,0.33,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.271712+00:00,CLOSED,ZEC,KXZEC15M-26SEP191400-00,zec-updown-15m-1789839900,B,0.48,0.52,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.370707+00:00,CLOSED,ETH,KXETH15M-26SEP191400-00,eth-updown-15m-1789839900,B,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.598282+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191400-00,doge-updown-15m-1789839900,B,0.4,0.6,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.776380+00:00,CLOSED,BTC,KXBTC15M-26SEP191400-00,btc-updown-15m-1789839900,A,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:07.958355+00:00,CLOSED,BNB,KXBNB15M-26SEP191400-00,bnb-updown-15m-1789839900,A,0.49,0.51,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:08.153621+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191400-00,hype-updown-15m-1789839900,A,0.48,0.52,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:08.231879+00:00,CLOSED,XRP,KXXRP15M-26SEP191400-00,xrp-updown-15m-1789839900,A,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
